id,ownerAgencyName,name,applications,projectStatus,businessValue,projectRisk,lifecycleCustom:plan,lifecycleCustom:phaseIn,lifecycleCustom:phaseOut,lifecycleCustom:endOfLife,lifecycleCustom:actualCompletion
443aa1dc-d9c6-44e4-bfdb-33ecdd3519f6,Accounting & General Services (Dept) / Public Works Division,Project Planning System (Operational),,,,,,,,,
285c2de8-7788-418b-be0d-a24afa081372,Accounting & General Services (Dept) / Public Works Division,Project Plans Registration System (Operational),,,,,,,,,
c2b4a4d0-5061-4b1a-9912-8b282c47cdf2,Accounting & General Services (Dept) / Public Works Division,Project Professional Services Tracking System (Operational),,,,,,,,,
e9704d11-ce68-4429-a83f-a2c0fd483582,Accounting & General Services (Dept) / Public Works Division,Project Time Accounting System (Operational),,,,,,,,,
b0e51a73-716c-4264-b4d9-326336cc0b4a,Accounting & General Services (Dept) / Public Works Division,Project Tracking System (Operational),,,,,,,,,
177761b9-55dc-406d-8571-c7b4242b3e80,Accounting & General Services (Dept) / State Procurement Office,HANDS,,,,,,,,,
ef0eabe0-af32-4175-8fac-193bb2e0ed65,Accounting & General Services (Dept) / State Procurement Office,HIePRO,,,,,,,,,
d8b8a2a3-832d-490b-921e-4c73e16f8dbf,Agriculture (Dept),Web Based Emergency Notification System,,,littleBusinessBenefit,,,,,,
3c8eabc8-20db-41cf-ad7b-4b40e904acfa,Agriculture (Dept) / Administrative Services Office,APPX applications Maintenance/ Replacement OEM,"ASO APPX;Agriculture Resource Management
Information System (ARMIS);Veterinary Laboratory Information System",,largeBusinessBenefit,,,,,,
a51d4735-fd92-4b50-a3fb-f0eab39a6c5c,Agriculture (Dept) / Administrative Services Office,File Servers,,,largeBusinessBenefit,,,,,,
5987687d-bfd2-4219-9e81-9be23f9ebe9c,Agriculture (Dept) / Administrative Services Office,Hardware and Software Maintenance/ Replacement OEM,,green,largeBusinessBenefit,,,,,,
7157f2f9-2c78-401d-98ee-a9d489b31a93,Agriculture (Dept) / Administrative Services Office,Replace RNS with fiber,,,littleBusinessBenefit,,,,,,
73939682-ea5e-4ef1-8ea4-3948de2bb08b,Agriculture (Dept) / Agricultural and Market Development,Contracts Management OEM,,,littleBusinessBenefit,,,,,,
9fa9a499-00ba-4505-af15-3da0ba1f37ee,Agriculture (Dept) / Agricultural and Market Development,Hawaii's Agriculuture Food and Products Database,Department of Agriculture Website;Hawai`i Agricultural Food and Products Database,,littleBusinessBenefit,,,,,,
895172aa-e023-4424-bf0b-db61f79503ec,Agriculture (Dept) / Agricultural and Market Development,Hawaii's Farmers' Market Directory,Department of Agriculture Website,,littleBusinessBenefit,,,,,,
c5e4fa13-5f3f-4ca2-9ac1-4e84d69cbdb7,Agriculture (Dept) / Agricultural and Market Development,Made in Hawaii with Aloha,Department of Agriculture Website,,littleBusinessBenefit,,,,,,
2f31c753-d439-48c3-acd1-9cace5292d2a,Agriculture (Dept) / Agricultural Resource Management,Resources Management Information System,ASO APPX,,littleBusinessBenefit,,,,,,
6c81eae3-16a6-4101-ad17-44726c8465a6,Agriculture (Dept) / Animal Industry,Animal Import System: Animal Quarantine,Animal Quarantine Information System (AQSIS),,significantBusinessBenefit,,,,,,
62836726-635e-46fb-b1b5-4b0f2f7e9f9f,Agriculture (Dept) / Animal Industry,Brand Application,,,littleBusinessBenefit,lowProjectRisk,,,,,
be6b172d-0af8-4cfa-998e-990cb9874258,Agriculture (Dept) / Department-Wide IT Support Services,Active Directory Migration,,,largeBusinessBenefit,,,,,,
0856c5b1-3fca-4b66-b682-b112919c9d21,Agriculture (Dept) / Department-Wide IT Support Services,AWS,,,littleBusinessBenefit,,,,,,
7f8618cd-85c7-4d9b-a5c3-3db15ee81114,Agriculture (Dept) / Department-Wide IT Support Services,Base Web Platform for constituent facing websites,,,littleBusinessBenefit,,,,,,
ce67afd9-1be1-4b3a-a47f-35f112b762de,Agriculture (Dept) / Department-Wide IT Support Services,GPC Chargeback,,,littleBusinessBenefit,,,,,,
6b94899c-dc20-4f17-9aa7-ca13e41c0177,Agriculture (Dept) / Department-Wide IT Support Services,Infor  Hansen License OEM,"Agriculture Resource Management
Information System (ARMIS);PESTREG;Veterinary Laboratory Information System",,littleBusinessBenefit,,,,,,
4d9a0e66-ee93-4f1f-a1b6-bdd63ee528fd,Agriculture (Dept) / Department-Wide IT Support Services,Malwarebytes,,,littleBusinessBenefit,,,,,,
70ee19a4-aefa-4e41-8edc-6c7130f7f32e,Agriculture (Dept) / Department-Wide IT Support Services,NGN Connectivity Improvement,,,littleBusinessBenefit,,,,,,
5a7e537b-6688-46fb-b6f6-d3fcbdf8d1b4,Agriculture (Dept) / Department-Wide IT Support Services,Open Data Platform,,,littleBusinessBenefit,,,,,,
c3969053-9bf6-4d20-a12f-51f12b07fb9d,Agriculture (Dept) / Department-Wide IT Support Services,Qualys Security Scanning,,,littleBusinessBenefit,,,,,,
308c86c3-41fc-4401-9eaf-14750b0a267b,Agriculture (Dept) / Department-Wide IT Support Services,Shared Services,,,littleBusinessBenefit,,,,,,
deb0bea9-8c4c-4a3b-a9c0-bbf32634c50d,Agriculture (Dept) / Department-Wide IT Support Services,Sharepoint,,,littleBusinessBenefit,,,,,,
af7877d6-cb0d-4017-8be4-add96852bbaa,Agriculture (Dept) / Department-Wide IT Support Services,System Center Endpoint Protection,,,littleBusinessBenefit,,,,,,
2da12619-6f7d-482b-a401-85e26ae63bbc,Agriculture (Dept) / Financial Assistance - Agricultural Loan,Portfol Loan System OEM,Agricultural Loan Management System (ALA),,littleBusinessBenefit,,,,,,
4b405b65-6896-4ab5-9915-d517ea4b1332,Agriculture (Dept) / Plant Industry,Integrated Pesticides Information System OEM,"Agriculture Resource Management
Information System (ARMIS);PESTREG",,littleBusinessBenefit,,,,,,
1145aa43-66bf-4485-a49f-4f6bba1eea78,Agriculture (Dept) / Plant Industry,Nursery Certification,Plant Quarantine System,,largeBusinessBenefit,,,,,,
81b81717-9c6d-45bd-8911-94f85f15582b,Agriculture (Dept) / Plant Industry,Online Permitting and E-manifest system,Plant Quarantine System,,significantBusinessBenefit,,,,,,
e3fae668-9c67-4e4f-a515-e401bb906506,Agriculture (Dept) / Plant Industry,Online Permitting and Inspection Phase,Plant Quarantine System,,significantBusinessBenefit,,,,,,
cca17300-dbfe-4347-8913-9bc77803bede,Agriculture (Dept) / Plant Industry,Pest Reporting,PESTREG,,littleBusinessBenefit,,,,,,
fab7aa79-3566-4898-8b1b-c97964c70b1b,Agriculture (Dept) / Quality Assurance,Quality Assurance Management Information System,WINWAM,,littleBusinessBenefit,,,,,,
081717f9-36be-4446-aa06-deb5c9b7013c,Attorney General (Dept),Migrate AD to hawaii.local,,,,,,,,,
dfbec13a-5c67-4279-bb12-9b86de05fb7f,Attorney General (Dept),Migrate to Cloud,,,,,,,,,
add269c6-1215-4e21-9c49-24cc77a53e22,Attorney General (Dept),Network Refresh,,,,,,,,,
cc142082-c6b2-4ab2-91f0-0c892a573cb5,Attorney General (Dept),PC Refresh,,,,,,,,,
ce2810f0-8ca5-42e4-b30b-b0d44bfefe3e,Attorney General (Dept),WiFi Available Department Wide,,,,,,,,,
5416e384-12fe-4916-9f2e-3cc6edd6179b,Attorney General (Dept) / Child Support Enforcement Agency,Disaster Recovery Equipment and Services - CSEA Data Center,,green,significantBusinessBenefit,severeProjectRisk,,,,,
cd4c2736-8934-4173-afb5-4038289b8936,Attorney General (Dept) / Child Support Enforcement Agency,Disaster Recovery Equipment and Services - ETS Mainframe,,green,significantBusinessBenefit,severeProjectRisk,,,,,
812d0cb3-5156-4143-86aa-6e36802bbefe,Attorney General (Dept) / Child Support Enforcement Agency,DSS System - Maintenance / Support,Decision Support System (DSS),green,significantBusinessBenefit,highProjectRisk,,,,,
ea55d2cf-ae2d-49cf-8062-a1b3cb925246,Attorney General (Dept) / Child Support Enforcement Agency,DSS System - Replacement Project,Decision Support System (DSS),,significantBusinessBenefit,highProjectRisk,2020-01-06,2020-06-01,,2026-12-31,
649dec52-023b-49a2-bfe5-d2f19d469221,Attorney General (Dept) / Child Support Enforcement Agency,Imaging System - Maintenance / Support,,green,significantBusinessBenefit,severeProjectRisk,,,,,
5e070c9c-5d94-42e4-b694-b3a1d78951d8,Attorney General (Dept) / Child Support Enforcement Agency,Imaging System - Replacement,,green,significantBusinessBenefit,severeProjectRisk,,,,,
1bebaac9-301b-4bf8-aa7b-56a5df0b5da0,Attorney General (Dept) / Child Support Enforcement Agency,IVR Modernization Project,,green,significantBusinessBenefit,highProjectRisk,,,,,
f0acf312-154a-44c7-a96e-6c6eefa6a29a,Attorney General (Dept) / Child Support Enforcement Agency,KEIKI Modernization Project - Phase 1: Feasibility Study,,yellow,significantBusinessBenefit,severeProjectRisk,,,,,
e66833a1-97b3-4776-ab0e-a3dca325de51,Attorney General (Dept) / Child Support Enforcement Agency,KEIKI System - Current Maintenance / Support,,green,,,,,,,
a170be7c-6315-4dab-bd86-31935bb56101,Attorney General (Dept) / Child Support Enforcement Agency,KEIKI System - Modernization Project,KEIKI Modernization,,significantBusinessBenefit,severeProjectRisk,,,,,
88a9b7e4-12b9-4f25-90dc-f85179d3e310,Attorney General (Dept) / Child Support Enforcement Agency,Mainframe Usage,,green,significantBusinessBenefit,severeProjectRisk,,,,,
2d9f3d31-5fde-4134-9c59-5247f83c4861,Attorney General (Dept) / Child Support Enforcement Agency,Website Enhancements,,,significantBusinessBenefit,severeProjectRisk,,,,,
b8b82ffa-aa2e-4b34-9d24-3a3e5d6adf87,Attorney General (Dept) / Child Support Enforcement Agency,X Circuit Upgrades - Remote Offices,,,,,,,,,
8ca3ccf7-7327-4c7f-b35f-b06060c51630,Attorney General (Dept) / Child Support Enforcement Agency,X Data Center Backup Solution,,,,,,,,,
8a45167a-f890-46e4-bede-1d351504a43c,Attorney General (Dept) / Crime Prevention & Justice Administration Division,CPJA Electronic Grants Management System,,,largeBusinessBenefit,highProjectRisk,2019-04-10,,,,
a18ecdca-07f4-40a7-8ce5-803a83f1ddf3,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System - External Interface Pilot,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
08148490-5d0b-4d8d-9b6a-32281d738e7a,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System - Infrastructure Upgrade,Juvenile Justice information System (JJIS),,significantBusinessBenefit,highProjectRisk,,,,,
2350c45b-07f6-4956-949c-3073ee09c59d,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System - Phase 2 Implementation,Juvenile Justice information System (JJIS),,significantBusinessBenefit,moderateProjectRisk,,,,,
07ec9a62-5e84-42a7-8fd1-5802d05a838d,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System - Phase 3 Implementation,Juvenile Justice information System (JJIS),,,,,,,,
db71f06a-e88c-4fcc-a66a-9b6eadac33ab,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System GPC Migration - Prod Environment,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
879a5dd6-c53d-4fa3-a802-60066cb1bec5,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System GPC Migration - Test Environment,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
266d9fbc-7f7c-4501-acc6-188e8a26a6c8,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System Maintenance and Support,Juvenile Justice information System (JJIS),,,,,,,,
e66fa07b-058a-4a78-b1d8-376fb1253255,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System Maintenance and Support FY19,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
bbebd9ba-61cc-4f82-8e77-0b4f9d8c1088,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System Maintenance and Support FY20,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
745bfa20-bd72-423d-98b7-34de02082d62,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System Maintenance and Support FY21,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
c4b01cb2-730e-437f-89c4-8eb5d1d549a6,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System Maintenance and Support FY22,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
f76cb3ee-8f18-48c1-83a4-31a07d781b55,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System Maintenance and Support FY23,Juvenile Justice information System (JJIS),,largeBusinessBenefit,highProjectRisk,,,,,
2c2b1274-6ad7-4c46-9c3a-711bdbacee31,Attorney General (Dept) / Crime Prevention & Justice Administration Division,Juvenile Justice Information System Technical Training FY20,Juvenile Justice information System (JJIS),,largeBusinessBenefit,lowProjectRisk,,,,,
9c7993c2-d8df-4f7a-853f-fa798b67fa68,Attorney General (Dept) / Hawaii Criminal Justice Data Center,ABIS,ABIS - Automated Biometric Identification System,,,,,,,,
c1b68c11-3f21-440d-bbab-12ef840ab1bb,Attorney General (Dept) / Hawaii Criminal Justice Data Center,AFIS,,,,,,,,,
aaa01223-638c-4b75-b45e-84a60da5ecca,Attorney General (Dept) / Hawaii Criminal Justice Data Center,AFIS Upgrade,,,,,,,,,
56021c43-0ad8-4d8b-81dd-1eeeab6642b2,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Analytics,HIJIS - Hawaii Integrated Justice Information Sharing,,largeBusinessBenefit,,,,,,
dd15ac37-fdad-4455-89ee-9a913603ff53,Attorney General (Dept) / Hawaii Criminal Justice Data Center,CJIS-Hawaii,,,,,,,,,
a0ab9a23-d9b3-4c1d-b7e4-e1266f3ed26d,Attorney General (Dept) / Hawaii Criminal Justice Data Center,CJIS-Hawaii - CHIEF,,,,,,,,,
f3612e82-c873-4dd2-b571-8d220ce2db4b,Attorney General (Dept) / Hawaii Criminal Justice Data Center,CJIS-Hawaii - Password Reset,,,,,,,,,
2e92ae69-cba0-4b89-8be6-bf9e1718ea0c,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Convert Forms to eSign - G1s,,,,,,,,,
68a58448-2e18-417d-807b-14a5c74dce95,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Dispositions,,,,,,,,,
3789e3f1-f13a-480c-a54e-379a82087b37,Attorney General (Dept) / Hawaii Criminal Justice Data Center,e-File,,,,,,,,,
d58dc3b3-acb2-47cd-acda-430a7e74e37d,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Expungement Web Application On-line application & Status,,,,,,,,,
cbb3d0ff-b672-4d81-94f0-7451e57e28ae,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Federated Identity Management,,,,,,,,,
f29c0a82-e969-47d2-9a23-4e9e9bcb7127,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Firearms Registration - HCPD and KPD,,,,,,,,,
8ce471d0-af1b-485b-af80-18ed8ba617de,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Firearms Registration - MPD/HPD,,,,,,,,,
5f2d4021-59bd-46a9-b091-198acae25804,Attorney General (Dept) / Hawaii Criminal Justice Data Center,GPC Production/Test,,,,,,,,,
6740c499-c492-40e1-b317-93437f913d9b,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Green Box - Replacement,,,,,,,,,
cc456ac6-ef84-428b-93a2-7435c0c529a8,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Hardware Refresh,,,,,,,,,
d7d55dc6-e960-45d9-909a-6f4d1a4a574f,Attorney General (Dept) / Hawaii Criminal Justice Data Center,HelpDesk,,,,,,,,,
0828fdd0-6458-4070-bd0f-c4a32a7dee61,Attorney General (Dept) / Hawaii Criminal Justice Data Center,HIJIS Portal,,,,,,,,,
0d7052e0-876f-40a7-8041-878004d0cf01,Attorney General (Dept) / Hawaii Criminal Justice Data Center,HIJIS Portal - 3rd Party Access,,,,,,,,,
31acf055-d7ac-4ca2-8855-3ba1f6d96eab,Attorney General (Dept) / Hawaii Criminal Justice Data Center,IFFS,,,,,,,,,
00f97ec9-a6c9-4709-b9d8-e8bad6d98779,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Incident Reporting,,,,,,,,,
b00afd93-fe0d-4183-a569-2d519ddf3a96,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Log Monitoring,,,,,,,,,
ff87180c-eb59-4209-8fb6-e0d2aade5c96,Attorney General (Dept) / Hawaii Criminal Justice Data Center,LOTC,,,,,,,,,
13dd70dd-6191-4c2f-b679-ccb1aa8bd33e,Attorney General (Dept) / Hawaii Criminal Justice Data Center,LOTC - ABIS,,,,,,,,,
13fee528-1a94-4209-a8aa-6e669c56d0de,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Migration to GPC,,,,,,,,,
f636ae0a-a6fd-4f79-b076-9c80bdb41a60,Attorney General (Dept) / Hawaii Criminal Justice Data Center,MS Project,,,,,,,,,
8aabe716-eee6-4099-ac29-c7b6673e2fcc,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Mugphoto,,,,,,,,,
8ee2e0e5-d35e-4a3c-8799-3eed3912169c,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Network Upgrade - Disaster Recovery,,,,,,,,,
1101f5d2-f6d3-469d-b3d3-0f1f0177468f,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Network Upgrade - MPLS,,,,,,,,,
68857441-1f56-45ec-8aaf-141f8f920020,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Nlets,,,,,,,,,
a626074b-3eda-4b79-950d-faf20f3f5db2,Attorney General (Dept) / Hawaii Criminal Justice Data Center,NSOR,,,,,,,,,
dcb0ec2a-6e85-427b-8301-c2b8925863ea,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Office 2016,,,,,,,,,
505602d7-5e64-4e11-9d02-2d1ced9f4eed,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Open Fox,OpenFox System,,,,,,,,
7b5e7621-858e-4cc8-a067-76bbb60ec84a,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Open Justice Broker (OJB),,,,,,,,,
900a8eab-bb3a-4097-aa44-b57cf37b9203,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Peak Performance,,,,,,,,,
8518f4b4-1e77-4092-8160-c49523cd8bfb,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Query (Systems),,,,,,,,,
3be54f49-61e9-4110-9b49-124c97317ced,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Query - Mugphoto Enhancement,,,,,,,,,
a44b25f9-5c5a-4f3d-9e65-dc73cdb8d6c6,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Query - Vehicles,,,,,,,,,
ac6cdeae-8cf7-434c-ae95-4b053b09fa1e,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Rap Back - Phase 1,,,,,,,,,
f6969646-62db-44cc-bb74-bcb3278aa7ab,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Rap Back - Phase 2,,,,,,,,,
28a6f059-4771-48b8-9e00-6c67c48c2f86,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Rap Back - Phase 3,,,,,,,,,
72e2e4ee-1d5e-49b2-968e-89dc7d0a06ef,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Sex Offender Web Application,,,,,,,,,
e2d63797-c50d-4dfe-8f41-341603f61aac,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Software Refresh,,,,,,,,,
a9834fc3-f8f9-4789-83db-8d9f99168b3c,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Standardized XML,,,,,,,,,
86ac2aea-a398-4072-9226-dfb3fd2a4555,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Subscription / Notification,,,,,,,,,
ffa05933-dbb4-4cf8-bf7b-a9a80bc000c1,Attorney General (Dept) / Hawaii Criminal Justice Data Center,System Enhancements,,,,,,,,,
5323443c-8dc5-410c-935e-bb1cda813a9b,Attorney General (Dept) / Hawaii Criminal Justice Data Center,System Standardization Upgrade,,,,,,,,,
f213f04c-ac0c-4363-89e5-a383ede43150,Attorney General (Dept) / Hawaii Criminal Justice Data Center,Telecommunications,,,,,,,,,
ad9266e9-c3c9-4543-94ba-3b0f518a2adf,Attorney General (Dept) / Hawaii Criminal Justice Data Center,WiFi,,,,,,,,,
8b8713af-0e93-42c1-a18c-9c6d88c6398d,Attorney General (Dept) / Legal Services,Legal All-Band Radios,,green,,,,,,,
b367f649-c143-462d-9707-4cf41d14ed2a,Attorney General (Dept) / Legal Services,Legal Case Management,,,significantBusinessBenefit,moderateProjectRisk,,,,,
74c31f99-965d-4596-8a23-d14b2cc7193c,Attorney General (Dept) / Legal Services,Legal Charities Registration & Renewal System,,,,,,,,,
f1812fd3-29f8-4a38-a32e-692f10273929,Attorney General (Dept) / Legal Services,Legal Document Management - Alternative Solution,,,,,,,,,
cac95af9-e4e7-4abc-a9d0-1f6c86601936,Attorney General (Dept) / Legal Services,"Legal Maintenance support, licensing",,,,,,,,,
e29d0505-a590-4c0b-b819-61f692c0e821,Attorney General (Dept) / Legal Services,Legal Migrate AD to hawaii.local,,green,,,,,,,
52872a45-7f94-4d5c-8362-0171b152f772,Attorney General (Dept) / Legal Services,Legal Network Refresh,,green,,,,,,,
7c0cf179-9716-4425-a6a8-9777facd58f5,Attorney General (Dept) / Legal Services,Legal PC Refresh,,green,,,,,2017-12-18,,2019-12-31
a6954c84-3a4e-48d4-8950-4c209a3329e0,Attorney General (Dept) / Legal Services,Legal Printers Refresh,,,,,,,,,
44817d84-53fc-433d-9038-bb591a622fac,Attorney General (Dept) / Legal Services,Legal Servers,,,,,,,,,
2b231769-d9da-4404-b9a9-c0d180643cb3,Attorney General (Dept) / Legal Services,Legal VM/Storage Refresh,,,,,,,,,
9280c4a5-43ca-41d0-8d5a-acc6eafa64f7,Attorney General (Dept) / Legal Services,NIBRS Statewide Repository,,,,,,,,,
efbc6cc4-162a-4ed3-ba31-544ba3888d42,Budget & Finance (Dept) / Administrative and Research Office,BUF - ARO - DBF Website Redesign,,green,littleBusinessBenefit,lowProjectRisk,,,,,
bf584fd2-e063-4969-9d2d-937d3e0eab9c,Budget & Finance (Dept) / Administrative and Research Office,BUF - ARO - FAD/BPPM Phone System Upgrade,,green,littleBusinessBenefit,moderateProjectRisk,2018-01-01,2018-03-01,,2018-07-02,
