id,name,ownerAgencyName,successors,leadingBusinessCapability,businessCriticality,functionalFit,technicalFit,lifecycle:plan,lifecycle:active,lifecycle:endOfLife,timeTag,hostingTypeTag,majorInformationSystemsTag
d9ea5932-2ead-4a8b-ad6a-18cb440b9b97,AIR Security Access Control and Badging System,Transportation (Dept) / Airports Division,,Government Wide Support / Information Technology / Security,missionCritical,adequate,excellent,,2019-08-01,,Invest,@On Premise,
afbeb7a1-68e0-45e9-85f8-3f07100db645,DAGS - SPO - Public Auction,Accounting & General Services (Dept) / State Procurement Office,,Customer/Citizen Relationships / Self Service,businessCritical,insufficient,insufficient,,2016-04-18,,Migrate,Co-Located,
0d0420ef-b8b1-453c-8a73-6796e16dd735,PESTREG,Agriculture (Dept),,Department Budget Areas / Environmental Protection,businessCritical,adequate,adequate,,,2028-11-02,Invest,@On Premise,
8a35a860-7618-4d36-b8cd-13350892aef4,State Land Information Management  System 2.0 (Voyager),Land & Natural Resources (Dept) / Land Division (LAND),,,missionCritical,excellent,excellent,,,,Invest,,
4e9e2300-2710-4e10-977b-9e622d56faee,DPS - NED - Controlled Substance Registration System,Public Safety (Dept) / Narcotics Enforcement Division,,Department Budget Areas / Public Safety,businessOperational,adequate,adequate,,2011-02-01,,Invest,@On Premise,
abb9808b-cdac-412a-b1b5-c33b7094d858,Offendertrak,Public Safety (Dept) / Corrections Division,Corrections Collaboration System,Department Budget Areas / Public Safety,businessOperational,adequate,insufficient,,2000-01-01,2025-06-30,Migrate,@On Premise,
dce00b36-7f33-46aa-9082-6328170501ca,Vital Statistics System (VSS),Health (Dept) / Health Resources Administration,,Department Budget Areas / Health / Vital Events Management Services,missionCritical,adequate,insufficient,,2017-06-23,,Migrate,@On Premise,
a63b1154-2a44-49b5-89df-2badd7306303,Wage Standards Division Information Management System (WSDIMS),Labor and Industrial Relations (Dept) / Wage Standards Division,,Department Budget Areas / Employment / Employment - Case Management,businessCritical,insufficient,insufficient,,2000-01-01,2021-12-31,Migrate,@On Premise,
152d419d-5a74-4edb-a598-e79724d0f907,Professional Fundraiser Registration System,Attorney General (Dept) / Tax & Charities Division,,Customer/Citizen Relationships / Self Service,,,excellent,,2015-05-26,,missing data,IaaS,
e42e2b2d-bcfd-48f1-958d-c74ddf51cf8e,Project Management Software Solution for HAR-E,Transportation (Dept) / Harbors Division,,Department Budget Areas / Transportation / Transportation Maintenance,businessCritical,adequate,excellent,,,,Invest,,
9d656cee-6467-4427-84ea-1b44831e818a,INS - Licensee Services,Commerce & Consumer Affairs (Dept) / Insurance Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,adequate,,2018-02-05,,Invest,Co-Located,
deb4188b-f1a1-496e-8790-285b43108fe2,Plant Quarantine System,Agriculture (Dept) / Plant Industry,,Department Budget Areas / Environmental Protection,missionCritical,adequate,excellent,,2019-10-01,2028-11-01,Invest,PaaS,
db3d7a26-659e-4dd4-99a0-6d6c2ca756c5,OHS - Office of Homeland Security - Website,Defense (Dept) / State Office of Homeland Security,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2017-10-02,,Invest,IaaS,
72694ced-18cc-4a79-9e81-7f3644970fda,B&F Reconciliation,Budget & Finance (Dept) / Financial Administration Division,,Government Wide Support / Financial Management / Financing,businessCritical,adequate,adequate,,2019-01-01,2023-01-01,Invest,@On Premise,
3117ace5-c464-4483-a001-8da48aee87d1,PeopleSoft HRMS DOE,Education (Dept),,Government Wide Support / Human Resources,missionCritical,adequate,adequate,,2019-01-01,,Invest,,Major Information Systems
798ff563-53d9-4067-8568-4cdd5752f324,PeopleSoft HRMS UH,University of Hawaii,,Government Wide Support / Human Resources,missionCritical,adequate,adequate,,2019-01-01,,Invest,,
1777382a-9ac1-42ee-811a-ea1bcccb3003,Pitney Bowes Send Suite Shipping,Attorney General (Dept) / Child Support Enforcement Agency,,Government Wide Support / Information Technology / Notifications,businessCritical,adequate,adequate,,,,Invest,,
c2799562-74b7-4842-9f87-30f93f197230,DCD Case Management,Labor and Industrial Relations (Dept) / Disability Compensation Division,,Department Budget Areas / Employment / Employment - Case Management,missionCritical,excellent,excellent,,,,Invest,PaaS,
f5388c33-4198-4a87-ada9-583a60fd97db,o365.hawaii.gov,Enterprise Technology Services / Technology Support Services Branch,,Customer/Citizen Relationships / Self Service,administrativeService,adequate,adequate,,2019-01-01,,Invest,,
740898f2-dd51-467b-a62e-c9c7b533e9fe,"HIJIS query (firearms, agency systems)",Attorney General (Dept),,Department Budget Areas / Public Safety,missionCritical,adequate,,,,,missing data,,
4d03a67f-e4b2-41fe-94f0-ddb952a2d90f,hiwin.hawaii.gov,Enterprise Technology Services / Networking Branch,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2016-09-09,,Invest,,
bbcfdebd-f6a5-4227-bf59-d329d57dac16,INS - HILS Insurance Renewals,Commerce & Consumer Affairs (Dept) / Insurance Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,poor,,2001-06-01,,Migrate,Co-Located,
2c8baa82-38dd-4cae-bfaf-339c01c05880,INS - Licensee CE Verification,Commerce & Consumer Affairs (Dept) / Insurance Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,poor,,2009-05-31,,Migrate,Co-Located,
895888ef-9fee-4bd9-a756-162e423fe88a,IBM Content Manager Enterprise Edition,Attorney General (Dept) / Child Support Enforcement Agency,,Government Wide Support / Information Technology / Document Management,missionCritical,adequate,adequate,,,,Invest,@On Premise,
edb1b107-2dc5-4a9c-a0af-97fd8df6c3db,Boating Accounts Receivable System,Land & Natural Resources (Dept),,Government Wide Support / Financial Management / Accounting,businessCritical,adequate,excellent,,,,Invest,,
97fd0762-7875-453c-8253-64f8e019c467,Green Box,Attorney General (Dept) / Hawaii Criminal Justice Data Center,,,missionCritical,adequate,insufficient,,,,Migrate,,
7ee02fcc-b0ab-4ea5-8fd6-3f34ed2a5e72,Huiclaims - unemployment claims web-based intake,Labor and Industrial Relations (Dept) / Unemployment Insurance Division,,Customer/Citizen Relationships / Self Service,missionCritical,adequate,insufficient,,,,Migrate,,
10983471-898a-4d3d-908b-895cafbf28ca,iManage,Attorney General (Dept) / Legal Services,,Government Wide Support / Information Technology / Document Management,missionCritical,adequate,insufficient,,,,Migrate,,
e0d12aba-ee9d-42c6-8c15-287b4ff61867,OpenFox System,Attorney General (Dept) / Hawaii Criminal Justice Data Center,,,missionCritical,adequate,adequate,,,,Invest,,
9cc583ca-0ded-486b-a94a-f01ebece5991,BUF-EUTF-1099 MISC Reporting,Budget & Finance (Dept) / Employer-Union Health Trust Fund,,Government Wide Support / Financial Management / Financial Reporting,businessCritical,adequate,adequate,,,,Invest,@On Premise,
7d17875d-2282-4f6e-8c47-b89b543eea63,HWYAC Replacement Financial System,Transportation (Dept) / Highways Division,,Government Wide Support / Financial Management / Comprehensive or Multi-Purpose FMS,missionCritical,excellent,excellent,2019-01-01,,,Invest,TBD - Future,Major Information Systems
35def79a-c21f-4f0f-b646-ad938dc7e197,Bugzilla 4.4.6,Attorney General (Dept) / Child Support Enforcement Agency,,Government Wide Support / Information Technology / Application Development & Maintenance,businessCritical,adequate,adequate,,,,Invest,@On Premise,
5b2c69a1-94a6-4bd6-a76a-3ef6002f2d1d,ApplicationXtender Web Access,Hawaiian Home Lands (Dept) / Homestead Services Division,,Government Wide Support / Information Technology / Document Management,businessOperational,insufficient,adequate,,,,Tolerate,@On Premise,
58a97872-38d6-4079-a306-95d63b73f9ee,ES-203 Unemployment Insured Characteristics Research,Labor and Industrial Relations (Dept) / Research and Statistics Office,,Department Budget Areas / Employment / Labor Statistics,businessOperational,insufficient,poor,,2019-01-01,2023-01-01,Migrate,@On Premise,
42778fda-5094-4f61-a8b2-be29fd86027a,State Services Portal,Attorney General (Dept) / Child Support Enforcement Agency,,,businessCritical,adequate,poor,,,,Migrate,,
090d51ca-989c-4c63-bf5e-c95789ec1f80,Certificate of Age Registration System (CARS),Labor and Industrial Relations (Dept) / Wage Standards Division,,Department Budget Areas / Employment / Employment - Client Intake,missionCritical,adequate,insufficient,,2004-01-01,,Migrate,@On Premise,
483cf2a9-e05e-41d9-81cb-6e02e05b28ca,BREG - Annual Business Filings,Commerce & Consumer Affairs (Dept) / Business Registration Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,adequate,,2002-01-01,,Invest,Co-Located,
5e93a034-2136-40f2-8e56-bbd0f22d8338,sustainability.hawaii.gov,Enterprise Technology Services / Technology Support Services Branch,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2014-02-26,,Invest,,
6e156bd6-afdb-4742-b12a-90a9b91a7928,stayconnected.hawaii.gov,Enterprise Technology Services / Technology Support Services Branch,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2014-02-18,,Invest,,
74b02bac-9fbf-417d-b9d8-e668f6c99734,AIR WINGS,Transportation (Dept) / Airports Division,,Department Budget Areas / Transportation,businessOperational,adequate,adequate,,2008-05-01,,Invest,@On Premise,
a6c89735-ec96-4afe-b58f-3541965bd7ec,SolarWinds,Enterprise Technology Services / Security Branch,,Government Wide Support / Information Technology / Security,missionCritical,adequate,adequate,,2019-01-01,,Invest,SaaS,
f752be3e-9daa-429b-b87d-15c228e4eb44,FIS,Public Safety (Dept) / Administration Division (PSD),,Department Budget Areas / Public Safety,businessCritical,adequate,poor,,1990-01-01,,Migrate,@On Premise,
6129d617-cfa9-4692-9e42-ca174ca54fed,Employers Cost Allocation Plan,"Budget & Finance (Dept) / Budget, Program Planning and Management Division",,Government Wide Support / Financial Management / Financial Reporting,,,,,2019-01-01,2023-01-01,missing data,@On Premise,
4de703bd-9b03-45c5-880b-789f54aa0da5,Collateral and Securities Inventory,Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Financial Management / Financing,,,,,2019-01-01,2023-01-01,missing data,@On Premise,
bb5f44f4-24c1-4efe-a186-f4407f09d097,HISOK (HIS),Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Financial Management / Financial Reporting,,,,,2019-01-01,2023-01-01,missing data,@On Premise,
d8c6f03e-1ace-491b-9ac9-f1c8e0377b4c,creativecloud.hawaii.gov,Enterprise Technology Services / Technology Support Services Branch,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2018-06-27,,Invest,,
5f889d02-638a-4d61-b954-6deb9ab40415,BREG - Agent Search,Commerce & Consumer Affairs (Dept) / Business Registration Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,adequate,,2000-12-31,,Invest,Co-Located,
91528e54-62cd-4d72-846d-d101947708f9,Election Payroll,Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Financial Management / Payment Processing,businessOperational,insufficient,insufficient,,2019-01-01,2023-01-01,Migrate,@On Premise,
a39aad1c-58c8-40e2-9306-f7ad9dc40a84,CA Sort,Enterprise Technology Services / Systems Services Branch,SyncSort,Government Wide Support / Information Technology / Tools & Utilities,missionCritical,adequate,insufficient,,2019-01-01,2019-09-27,Migrate,,
94645414-0af9-46ed-9fce-840de914a4fe,1099 Reporting,Accounting & General Services (Dept) / Accounting Division,,Government Wide Support / Financial Management / Financial Reporting,businessOperational,adequate,adequate,,2019-01-01,2023-01-01,Invest,@On Premise,
aff4e6ef-17aa-409d-8270-ddb873554ce9,ipsc.hawaii.gov,Enterprise Technology Services / Security Branch,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2014-02-06,,Invest,,
ebab84ee-64e8-4fbb-afff-22027dd747ea,WebEOC,Defense (Dept) / Hawaii Emergency Management Agency,,Department Budget Areas / Public Safety,missionCritical,adequate,insufficient,,2011-01-01,,Migrate,@On Premise,
a9ad61d8-d2b1-4f96-ac6e-4b24ac4929e1,esign.hawaii.gov,Enterprise Technology Services / Technology Support Services Branch,,Customer/Citizen Relationships / Self Service,businessCritical,excellent,excellent,,,,Invest,,
7bef4b42-92af-4194-abf7-d98ce60229d7,CJIS Criminal Justice Information System,Attorney General (Dept) / Hawaii Criminal Justice Data Center,,Department Budget Areas / Public Safety,missionCritical,,,,2019-01-01,,missing data,@On Premise,Major Information Systems
746ca72b-3b2e-42bd-b40e-ec1080f3ac84,FAMIS Financial Accounting & Management Information System,Accounting & General Services (Dept) / Accounting Division,HiMod Financial Management System (FMS),Government Wide Support / Financial Management / Comprehensive or Multi-Purpose FMS,businessCritical,adequate,poor,,2019-01-01,2023-01-01,Migrate,@On Premise,Major Information Systems
9022dac6-a576-4390-9710-b171a3aa7544,prp.hawaii.gov (Paper Reduction),Enterprise Technology Services / Client Services Branch,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,excellent,,2017-07-11,,Invest,,
24127c6c-9d82-4c9a-a627-93d8af915863,PVL - ALIAS Salesforce Replacement,Commerce & Consumer Affairs (Dept) / Professional & Vocational Licensing Division,,Department Budget Areas / Individual Rights / Licensing/Permitting,missionCritical,excellent,excellent,,2020-06-01,,Invest,PaaS,
fa30dbdf-bbf1-48ae-972f-4e19116e856d,PVL - Insurance Certificate Submittal (Surety),Commerce & Consumer Affairs (Dept) / Professional & Vocational Licensing Division,,Customer/Citizen Relationships / Self Service,businessCritical,adequate,insufficient,,2015-06-05,,Migrate,Co-Located,
a5033280-f432-4b88-a128-f95e2ff9351c,RAP Back,Attorney General (Dept),,Customer/Citizen Relationships / Self Service,missionCritical,adequate,,2019-01-01,,,missing data,,
b3ba5d5f-480b-416e-976e-8b7aa4f199bb,Referral System,Labor and Industrial Relations (Dept) / Workforce Development Council,,Department Budget Areas / Employment / Employment - Client Intake,businessOperational,adequate,adequate,,2019-12-01,2022-06-30,Invest,PaaS,
0276127f-a931-44da-a3de-566a6b2c0a27,Quarterly Wage Reports System (QWRS),Labor and Industrial Relations (Dept) / Unemployment Insurance Division,,Customer/Citizen Relationships / Self Service,missionCritical,insufficient,poor,,1990-01-01,2023-01-01,Migrate,@On Premise,
ad091ee9-8a59-400c-b4ba-47d7d192361b,Box.com,Enterprise Technology Services / Technology Support Services Branch,,Government Wide Support / Information Technology / Security,businessOperational,adequate,adequate,,,,Invest,SaaS,
02ec88c1-f2c2-46fe-8479-4608fa5dada1,DHHL - Salesforce Contact Center,Hawaiian Home Lands (Dept) / Office of the Chairman (OCH),,Customer/Citizen Relationships / Call Center Support,businessCritical,excellent,excellent,,,,Invest,PaaS,
66e125a7-8f3f-427c-84bd-955bee6e8ed6,ets.hawaii.gov,Enterprise Technology Services / CIO,,Customer/Citizen Relationships / Self Service,businessOperational,adequate,adequate,,,,Invest,,
0add4143-8375-4a6d-bae0-ed4b3b8841b1,Everbridge,Enterprise Technology Services / Technology Support Services Branch,,Government Wide Support / Information Technology / Emergency Management,businessOperational,excellent,excellent,,2020-06-01,,Invest,SaaS,
0a81729e-dc69-4ea6-8294-6b34fb4ce940,hacc.hawaii.gov,Enterprise Technology Services / CIO,,Customer/Citizen Relationships / Self Service,administrativeService,adequate,adequate,,2019-01-01,,Invest,,
4c9e2a87-b17e-4ad4-8f9e-48ee68dc7f32,ETA-204 Research and Statistics System,Labor and Industrial Relations (Dept) / Research and Statistics Office,,Department Budget Areas / Employment / Labor Statistics,businessOperational,insufficient,poor,,2019-01-01,2023-01-01,Migrate,@On Premise,
c0c42193-20b0-4707-b0c9-198602565ff1,Hawaii Foreign-Trade Zone Information Processing System (HFTZIPS) Inventory Management System,"Business, Economic Dev & Tourism (Dept) / Foreign Trade Zone Division",,,missionCritical,adequate,insufficient,,,,Migrate,@On Premise,
9ad5d9af-f060-462d-9886-6cbf51bf17a7,Green LMI,Labor and Industrial Relations (Dept) / Research and Statistics Office,,Department Budget Areas / Employment / Labor Statistics,administrativeService,adequate,insufficient,,2011-12-29,,Eliminate,Co-Located,
c30dcdd9-a69c-450c-bf0a-9dab4a8daa34,Child Support IVR,Attorney General (Dept) / Child Support Enforcement Agency,,Customer/Citizen Relationships / Self Service,businessCritical,insufficient,poor,,,,Migrate,,
baea6032-dc75-42dc-bdec-e8fec00e0b8d,Darknet,Defense (Dept) / State Office of Homeland Security,,,businessOperational,adequate,adequate,,,,Invest,,
81056fe6-f2ad-4daa-bfc0-ade6fbabfbad,Hawaii Unemployment Insurance (HUI) Express,Labor and Industrial Relations (Dept) / Unemployment Insurance Division,,Department Budget Areas / Employment / Employer Collections,missionCritical,insufficient,insufficient,,2006-10-01,,Migrate,Co-Located,
ddd36881-7ff5-4c46-94fa-15d04907d2e1,Automated Indicator Sharing,Defense (Dept) / State Office of Homeland Security,,,administrativeService,insufficient,adequate,,2018-04-12,,Tolerate,Hosted,
9bec9f7f-703b-4b01-a5e7-aab7b5fbe5f1,HDOA Property Management,Agriculture (Dept),,Government Wide Support / Property & Facilities,administrativeService,adequate,adequate,,2019-10-01,2028-11-01,Invest,@On Premise,
bc9c7a3a-ed9f-41b9-87f6-4166e25fc291,Forestry GIS Collection Permit Database,Land & Natural Resources (Dept) / Forestry and Wildlife (DOFAW),,Department Budget Areas / Individual Rights / Licensing/Permitting,administrativeService,adequate,excellent,2019-06-13,2019-12-31,,Invest,,
c50b8624-c2fa-419e-b8e1-190adc722d26,Campaign Spending Commission Mass Emailing System,Accounting & General Services (Dept) / Campaign Spending Commission,,Government Wide Support / Policy Development,businessCritical,adequate,adequate,,,,Invest,,
5ef50d0c-3500-428d-88b8-8bb836c55e50,DOTH - Asset Management System (AMS),Transportation (Dept) / Harbors Division,,Department Budget Areas / Transportation,,,,2018-12-09,,,missing data,,
82e8ad22-579d-4c53-916c-6aea086c12ab,AIR Everbridge Emergency Notification,Transportation (Dept) / Airports Division,,Department Budget Areas / Transportation / Transportation Operations,missionCritical,adequate,excellent,,2020-08-01,,Invest,SaaS,
